model_type,half,calibration_bias,residual_mean,residual_std,t_stat,p_value,ci_lower,ci_upper,n_obs,n_hinrunde,n_ruckrunde
bert,45,1.0374131430508475,-0.04299862426296878,1.3417960556831476,-0.2603394706515363,0.7954248815489016,-0.372853264857293,0.2868560163313554,66,59,66
baseline,45,-0.5475550969078631,-0.06153703617667477,1.230129873218016,-0.40640362947935316,0.6857810336647975,-0.3639407028859824,0.24086663053263285,66,59,66
