variable,coefficient,p_value,significant
Intercept,0.15650253875546513,0.2828812484837947,No
ot_goals_90,0.37075805690932995,0.033556992058370684,Yes
ot_subs_90,0.3508056126567179,0.023968398681680467,Yes
ot_cards_90,0.14630264238305812,0.034242865880972854,Yes
ot_var_90,0.33250221369956723,0.007846890688833413,Yes
ot_injuries_90,0.18617504070600155,0.7125635725298918,No
ot_disturbances_90,-1.0127642596030956e-17,0.9532370740184075,No
pressure_add_90,0.10507150056376541,0.6251298318307719,No
pressure_draw_90,0.32046158012551995,0.11630007068917826,No
pressure_end_90,0.08499324563044885,0.622142912486251,No
is_ruckrunde,-0.1390405517260015,0.356977558309031,No
