variable,coefficient,p_value,significant
Intercept,0.4263911811305403,0.22185315628160257,No
goals_1st,0.42531896496131794,0.00039236111486340897,Yes
subs_1st,0.14327135466131646,0.38661430583545175,No
cards_1st,-0.002456851768240776,0.9810286603863929,No
var_1st,0.17700530015431307,0.0701257215054071,No
injuries_1st,0.5706202040107473,4.514940458213824e-06,Yes
disturbances_1st,0.590625310444624,0.04489359152313922,Yes
pressure_add_45,0.048177626914553844,0.9040239552704594,No
pressure_draw_45,0.5482175733532549,0.05659964433084226,No
pressure_end_45,0.2472183980098837,0.3189449667013845,No
is_ruckrunde,0.13808019070482014,0.5513693568771689,No
