model_type,half,calibration_bias,residual_mean,residual_std,t_stat,p_value,ci_lower,ci_upper,n_obs,n_hinrunde,n_ruckrunde
bert,90,1.036095445,0.49082554562500014,2.2191998593590676,1.7693784308971852,0.08167041416227204,-0.0635140857391937,1.0451651769891939,64,60,64
baseline,90,-0.45157538647127404,-0.05780798703592971,2.0760443075449704,-0.22276205503259472,0.8244413572726625,-0.5763884255154936,0.4607724514436342,64,60,64
