period,bert_r2,bert_rmse,ols_r2,ols_rmse
Hinrunde,-0.32613626279435803,1.772193157291265,0.17257004288543865,1.3998535408322723
Rückrunde,-0.44380926852012625,1.661925946002107,0.027030100637827736,1.3642892520691938
Overall,-0.3771178172313083,1.7148558066914403,0.10664813361798475,1.3811897103283637
