season,ghost_count,total_matches,ghost_pct
2017-18,0.0,305,0.0
2018-19,0.0,303,0.0
2019-20,140.0,304,46.05263157894737
2020-21,293.0,305,96.06557377049181
2021-22,90.0,305,29.508196721311474
2022-23,0.0,301,0.0
2023-24,0.0,299,0.0
2024-25,0.0,302,0.0
